"ID";"FECHA";"REFERENCIA";"NOMBRE";"DEPARTAMENTO";"SUB1";"SUB2";"SUB3";"SUB4";"SUB5";"CANTIDAD";"TOTAL VENTA";"COSTOS"
"268919";"2018-01-12";"VOGU718";"SOMBRA VOGUE X4G";"5";"21";"113";"92";"0";"0";"1";"4100";"2934.88"
"266593";"2018-01-05";"VOV000";"GAFAS SURTIDAS";"2";"12";"78";"0";"0";"0";"1";"5900";"2042.86"
"269433";"2018-01-13";"VOV000";"GAFAS SURTIDAS";"2";"12";"78";"0";"0";"0";"1";"5900";"2042.86"
"268914";"2018-01-12";"WAKI670";"CAMISA BEBE WAKI";"1";"1";"1";"0";"0";"0";"1";"11900";"8500"
"268375";"2018-01-10";"WAKI720";"MEDIA BB SONAJERO WAKIDS 16720";"3";"16";"90";"0";"0";"0";"1";"7000";"0"
"266305";"2018-01-04";"WAKI819";"MEDIA BB WAKIDS";"1";"1";"0";"0";"0";"0";"1";"4900";"2950"
"270191";"2018-01-15";"WALK026";"ZAPATILLA DAMA WALKWAY REF WW/05026/Y/PLB";"3";"16";"93";"0";"0";"0";"1";"24000";"20000"
"267767";"2018-01-09";"WARH611";"HELICOPTERO MILITAR WARHAWK REF 286/11";"2";"9";"68";"0";"0";"0";"1";"26000";"0"
"270041";"2018-01-15";"WATE549";"CAUCHERA WATER BOMB REF CH5549";"2";"9";"68";"0";"0";"0";"1";"6600";"0"
"266029";"2018-01-03";"WIDZ219";"SUECO HOMBRE WIDZ REF 1219";"3";"14";"84";"0";"0";"0";"1";"19000";"0"
"269622";"2018-01-14";"WIDZ219";"SUECO HOMBRE WIDZ REF 1219";"3";"14";"84";"0";"0";"0";"1";"19000";"0"
"266110";"2018-01-03";"WILD250";"ACEITE WILDLIFE SURTIDO X 250 ML";"5";"23";"120";"104";"0";"0";"1";"6900";"4466.33"
"266921";"2018-01-06";"WILD500";"JABON LIQUIDO WILDLIFE 500 ML";"5";"22";"0";"0";"0";"0";"1";"4900";"3233.33"
"268527";"2018-01-11";"WILD500";"JABON LIQUIDO WILDLIFE 500 ML";"5";"22";"0";"0";"0";"0";"1";"4900";"3233.33"
"269254";"2018-01-12";"WILL084";"PANTALONETA HOMBRE WILLIAM ";"1";"5";"45";"0";"0";"0";"1";"11900";"8500"
"266243";"2018-01-04";"WIMA648";"PINCEL WIMASUM X1";"2";"13";"0";"0";"0";"0";"1";"2500";"0"
"266615";"2018-01-05";"WING001";"CAJA DE GANCHO  GRAPAS WINGO ";"4";"17";"0";"0";"0";"0";"1";"2500";"1660.04"
"268499";"2018-01-11";"WING001";"CAJA DE GANCHO  GRAPAS WINGO ";"4";"17";"0";"0";"0";"0";"1";"2500";"1660.04"
